A,B,C,D,E,F,G,( not ( ( not ( 0 and ( not ( C and D ) ) ) ) and ( not ( D and E ) ) ) ),( not ( ( not ( 1 and ( not ( C and D ) ) ) ) and ( not ( D and E ) ) ) ),( not ( ( not ( B and ( not ( 1 and D ) ) ) ) and ( not ( D and E ) ) ) ),( not ( ( not ( B and ( not ( C and 1 ) ) ) ) and ( not ( 1 and E ) ) ) ),( not ( ( not ( B and ( not ( C and D ) ) ) ) and ( not ( D and 1 ) ) ) )
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,1,0,1,0,1,0,1,0
0,0,0,0,1,1,0,0,1,0,1,0
0,0,0,0,1,1,1,0,1,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,1,0,0,1,0,0,1
0,0,0,1,0,1,1,0,1,0,0,1
0,0,0,1,1,0,0,1,1,1,1,1
0,0,0,1,1,0,1,1,1,1,1,1
0,0,0,1,1,1,0,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,0,0,1,1,0,1,0,0,0
0,0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,1,0,1,0,1,0
0,0,1,0,1,1,0,0,1,0,1,0
0,0,1,0,1,1,1,0,1,0,1,0
0,0,1,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,1,0,0,0,0,1
0,0,1,1,0,1,0,0,0,0,0,1
0,0,1,1,0,1,1,0,0,0,0,1
0,0,1,1,1,0,0,1,1,1,1,1
0,0,1,1,1,0,1,1,1,1,1,1
0,0,1,1,1,1,0,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,1
0,1,0,0,0,0,1,0,1,1,1,1
0,1,0,0,0,1,0,0,1,1,1,1
0,1,0,0,0,1,1,0,1,1,1,1
0,1,0,0,1,0,0,0,1,1,1,1
0,1,0,0,1,0,1,0,1,1,1,1
0,1,0,0,1,1,0,0,1,1,1,1
0,1,0,0,1,1,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,0,1,1
0,1,0,1,0,0,1,0,1,0,1,1
0,1,0,1,0,1,0,0,1,0,1,1
0,1,0,1,0,1,1,0,1,0,1,1
0,1,0,1,1,0,0,1,1,1,1,1
0,1,0,1,1,0,1,1,1,1,1,1
0,1,0,1,1,1,0,1,1,1,1,1
0,1,0,1,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,0,1,1,0,1
