A,B,C,D,E,( B and C ),( ( D or E ) ),( 0 or ( not ( B and C ) ) or ( B and C ) ),( ( B and C ) or ( ( D or E ) ) ),( ( not ( 1 and C ) ) and ( ( B and C ) or ( ( D or E ) ) ) ),( A or ( not ( B and C ) ) or ( B and C ) ),( ( not ( B and C ) ) and ( ( B and C ) or ( ( D or E ) ) ) )
0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,1,1,1,1,1,1
0,0,0,1,0,0,1,1,1,1,1,1
0,0,0,1,1,0,1,1,1,1,1,1
0,0,1,0,0,0,0,1,0,0,1,0
0,0,1,0,1,0,1,1,1,0,1,1
0,0,1,1,0,0,1,1,1,0,1,1
0,0,1,1,1,0,1,1,1,0,1,1
0,1,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,0,1,1,1,1,1,1
0,1,0,1,0,0,1,1,1,1,1,1
0,1,0,1,1,0,1,1,1,1,1,1
0,1,1,0,0,1,0,1,1,0,1,0
0,1,1,0,1,1,1,1,1,0,1,0
0,1,1,1,0,1,1,1,1,0,1,0
0,1,1,1,1,1,1,1,1,0,1,0
1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,1,1,1,1,1,1
1,0,0,1,0,0,1,1,1,1,1,1
1,0,0,1,1,0,1,1,1,1,1,1
1,0,1,0,0,0,0,1,0,0,1,0
1,0,1,0,1,0,1,1,1,0,1,1
1,0,1,1,0,0,1,1,1,0,1,1
1,0,1,1,1,0,1,1,1,0,1,1
1,1,0,0,0,0,0,1,0,0,1,0
1,1,0,0,1,0,1,1,1,1,1,1
1,1,0,1,0,0,1,1,1,1,1,1
1,1,0,1,1,0,1,1,1,1,1,1
1,1,1,0,0,1,0,1,1,0,1,0
1,1,1,0,1,1,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,0,1,0
