A,B,C,D,E,( not ( ( not ( 0 and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and E ) ) ) ),( not ( ( not ( 1 and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and E ) ) ) ),( not ( ( not ( B and ( not ( 0 and D ) ) ) ) and ( not ( ( not ( 0 and D ) ) and E ) ) ) ),( not ( ( not ( B and ( not ( 1 and D ) ) ) ) and ( not ( ( not ( 1 and D ) ) and E ) ) ) ),( not ( ( not ( B and ( not ( C and 0 ) ) ) ) and ( not ( ( not ( C and 0 ) ) and E ) ) ) ),( not ( ( not ( B and ( not ( C and 1 ) ) ) ) and ( not ( ( not ( C and 1 ) ) and E ) ) ) ),( not ( ( not ( B and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and 0 ) ) ) ),( not ( ( not ( B and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and 1 ) ) ) )
0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,1,1,1,1,1,1,0,1
0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,1,1,1,1,0,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,1,1,1,1,0,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,1,1,1,1,1,1,1
0,1,0,0,1,1,1,1,1,1,1,1,1
0,1,0,1,0,0,1,1,0,1,1,1,1
0,1,0,1,1,1,1,1,0,1,1,1,1
0,1,1,0,0,0,1,1,1,1,0,1,1
0,1,1,0,1,1,1,1,1,1,0,1,1
0,1,1,1,0,0,0,1,0,1,0,0,0
0,1,1,1,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,1,1,1,1,1,1,1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,1,1,1,1,1,0,1,1,0,1
1,0,1,0,0,0,1,0,0,0,0,0,1
1,0,1,0,1,1,1,1,1,1,0,0,1
1,0,1,1,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,1,0,1,1,1,1
1,1,0,1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,1,0,1,1
1,1,1,0,1,1,1,1,1,1,0,1,1
1,1,1,1,0,0,0,1,0,1,0,0,0
1,1,1,1,1,0,0,1,0,1,0,0,0
