A,B,C,D,E,F,( not ( ( not ( ( not ( A and C ) ) and ( not ( B and ( not ( C and D ) ) ) ) ) ) and ( not ( ( not ( B and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and E ) ) ) ) ) ),( not ( ( not ( ( not ( A and C ) ) and ( not ( B and ( not ( C and D ) ) ) ) ) ) and D ) ),( not ( ( ( not ( B and C ) ) and ( ( B and C ) or ( ( D or E ) ) ) ) and ( not ( C and D ) ) ) ),( not ( ( not ( ( not ( B and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and E ) ) ) ) and ( ( ( C and ( A ^ B ) ) or ( B and A ) ) ) ) ),( ( ( ( A ^ B ) ^ C ) ) ),( not ( ( not ( C and D ) ) or ( not ( ( not ( C and D ) ) ) ) ) ),( not ( ( not ( ( ( not ( B and C ) ) and ( ( B and C ) or ( ( D or E ) ) ) ) and ( not ( C and D ) ) ) ) and ( not ( ( not ( ( not ( B and ( not ( C and D ) ) ) ) and ( not ( ( not ( C and D ) ) and E ) ) ) ) and ( ( ( C and ( A ^ B ) ) or ( B and A ) ) ) ) ) ) )
0,0,0,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,1,1,1,1,1,0,0,0
0,0,0,0,1,0,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,0,1,0,0,1
0,0,0,1,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,1
0,0,0,1,1,0,1,1,0,1,0,0,1
0,0,0,1,1,1,1,1,0,1,0,0,1
0,0,1,0,0,0,1,1,1,1,1,0,0
0,0,1,0,0,1,1,1,1,1,1,0,0
0,0,1,0,1,0,1,1,0,1,1,0,1
0,0,1,0,1,1,1,1,0,1,1,0,1
0,0,1,1,0,0,1,1,1,1,1,0,0
0,0,1,1,0,1,1,1,1,1,1,0,0
0,0,1,1,1,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,1,1,1,1,0,0
0,1,0,0,0,0,0,1,1,1,1,0,0
0,1,0,0,0,1,0,1,1,1,1,0,0
0,1,0,0,1,0,0,1,0,1,1,0,1
0,1,0,0,1,1,0,1,0,1,1,0,1
0,1,0,1,0,0,0,0,0,1,1,0,1
0,1,0,1,0,1,0,0,0,1,1,0,1
0,1,0,1,1,0,0,0,0,1,1,0,1
0,1,0,1,1,1,0,0,0,1,1,0,1
0,1,1,0,0,0,0,1,1,0,0,0,1
0,1,1,0,0,1,0,1,1,0,0,0,1
0,1,1,0,1,0,0,1,1,0,0,0,1
0,1,1,0,1,1,0,1,1,0,0,0,1
0,1,1,1,0,0,1,1,1,1,0,0,0
0,1,1,1,0,1,1,1,1,1,0,0,0
0,1,1,1,1,0,1,1,1,1,0,0,0
0,1,1,1,1,1,1,1,1,1,0,0,0
1,0,0,0,0,0,1,1,1,1,1,0,0
1,0,0,0,0,1,1,1,1,1,1,0,0
1,0,0,0,1,0,1,1,0,1,1,0,1
1,0,0,0,1,1,1,1,0,1,1,0,1
1,0,0,1,0,0,1,1,0,1,1,0,1
1,0,0,1,0,1,1,1,0,1,1,0,1
1,0,0,1,1,0,1,1,0,1,1,0,1
1,0,0,1,1,1,1,1,0,1,1,0,1
1,0,1,0,0,0,1,1,1,1,0,0,0
1,0,1,0,0,1,1,1,1,1,0,0,0
1,0,1,0,1,0,0,1,0,0,0,0,1
1,0,1,0,1,1,0,1,0,0,0,0,1
1,0,1,1,0,0,1,0,1,1,0,0,0
1,0,1,1,0,1,1,0,1,1,0,0,0
1,0,1,1,1,0,1,0,1,1,0,0,0
1,0,1,1,1,1,1,0,1,1,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,1
1,1,0,0,0,1,0,1,1,0,0,0,1
1,1,0,0,1,0,0,1,0,0,0,0,1
1,1,0,0,1,1,0,1,0,0,0,0,1
1,1,0,1,0,0,0,0,0,0,0,0,1
1,1,0,1,0,1,0,0,0,0,0,0,1
1,1,0,1,1,0,0,0,0,0,0,0,1
1,1,0,1,1,1,0,0,0,0,0,0,1
1,1,1,0,0,0,0,1,1,0,1,0,1
1,1,1,0,0,1,0,1,1,0,1,0,1
1,1,1,0,1,0,0,1,1,0,1,0,1
1,1,1,0,1,1,0,1,1,0,1,0,1
1,1,1,1,0,0,1,0,1,1,1,0,0
1,1,1,1,0,1,1,0,1,1,1,0,0
1,1,1,1,1,0,1,0,1,1,1,0,0
1,1,1,1,1,1,1,0,1,1,1,0,0
