A,B,C,D,E,( ( not ( 0 and C ) ) and ( ( 0 and C ) or ( ( D or E ) ) ) ),( ( not ( 1 and C ) ) and ( ( 1 and C ) or ( ( D or E ) ) ) ),( ( not ( B and 0 ) ) and ( ( B and 0 ) or ( ( D or E ) ) ) ),( ( not ( B and 1 ) ) and ( ( B and 1 ) or ( ( D or E ) ) ) ),( ( not ( B and C ) ) and ( ( B and C ) or ( ( 0 or E ) ) ) ),( ( not ( B and C ) ) and ( ( B and C ) or ( ( 1 or E ) ) ) ),( ( not ( B and C ) ) and ( ( B and C ) or ( ( D or 0 ) ) ) ),( ( not ( B and C ) ) and ( ( B and C ) or ( ( D or 1 ) ) ) ),( ( not ( B and C ) ) and ( ( B and C ) or ( ( D or E ) ) ) )
0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,1,1,1,1,1,1,1,0,1,1
0,0,0,1,0,1,1,1,1,0,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,0,0,0,1,0,1,0
0,0,1,0,1,1,0,1,1,1,1,0,1,1
0,0,1,1,0,1,0,1,1,0,1,1,1,1
0,0,1,1,1,1,0,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,1,0,1,0
0,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,1,1,1,0,0,1,1,1,1
0,1,0,1,1,1,1,1,0,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0
0,1,1,1,0,1,0,1,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,1,1,1,1,1,1,1,0,1,1
1,0,0,1,0,1,1,1,1,0,1,1,1,1
1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,1,0,1,1,0,1,1,1,1,0,1,1
1,0,1,1,0,1,0,1,1,0,1,1,1,1
1,0,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0
1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,1,1,1,0,0,1,1,1,1
1,1,0,1,1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0
1,1,1,1,0,1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,0,1,0,0,0,0,0,0
